Filename,Frame,Time (mins),Period,Period time (mins),length.mm,Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Depth,Comment,Date,Time,habitat_type,complexity,current_speed,temperature,left_camera,right_camera,Family,Genus,Species,Code,Number,Stage,Activity,Comment
Left (2).MP4,14135,25.4949,,,,1.307,0.2,1008.879,1.179,,,11.425,-7.421,-1008.787,bootspongewall_1,Fiona Francis,17,,19-10-11,12:49,rocky reef,,,,1049,1048,,,,,1,AD,Passing,Tape2_end
Left (2).MP4,14345,25.6117,,,,1.265,0.213,988.759,0.807,,,7.739,-1.847,-988.727,bootspongewall_1,Fiona Francis,17,,19-10-11,12:49,rocky reef,,,,1049,1048,,,,,1,AD,Passing,Tape3_start
Left (2).MP4,14435,25.6617,,,,1.281,0.353,995.15,5.377,,,-69.322,-52.618,-991.337,bootspongewall_1,Fiona Francis,17,,19-10-11,12:49,rocky reef,,,,1049,1048,,,,,1,AD,Passing,Tape3_end
Left (2).MP4,19124,28.2694,60min,0.4532,247.513,11.87,0.954,2815.884,1.347,24.344,6.524,-5.4,65.986,-2815.106,bootspongewall_1,Fiona Francis,17,,19-10-11,12:49,rocky reef,,,,1049,1048,Cottidae,Scorpaenichthys,marmoratus,692068,1,AD,Passing,
Left (2).MP4,21935,29.8326,60min,2.0165,244.424,1.891,1.283,1945.532,0.435,1.008,1.676,-14.755,0.105,-1945.476,bootspongewall_1,Fiona Francis,17,,19-10-11,12:49,rocky reef,,,,1049,1048,Hexagrammidae,Hexagrammos,decagrammus,167110,1,AD,Passing,
Left (2).MP4,21969,29.8515,60min,2.0354,394.82,34.85,8.147,3392.617,25.076,79.968,7.326,-1429.47,155.294,-3072.841,bootspongewall_1,Fiona Francis,17,,19-10-11,12:49,rocky reef,,,,1049,1048,Hexagrammidae,Hexagrammos,decagrammus,167110,1,AD,Passing,
Left (2).MP4,24129,31.0527,60min,3.2366,89.633,2.179,1.159,899.111,15.035,47.763,2.483,5.209,-233.176,-868.333,bootspongewall_1,Fiona Francis,17,,19-10-11,12:49,rocky reef,,,,1049,1048,Gobiidae,Rhinogobiops,nicholsii,636877,6,AD,Passing,
Left (2).MP4,24359,31.1806,60min,3.3645,118.94,1.726,4.045,738.993,24.639,77.437,9.4,-125.592,-281.325,-671.709,bootspongewall_1,Fiona Francis,17,,19-10-11,12:49,rocky reef,,,,1049,1048,Gobiidae,Rhinogobiops,nicholsii,636877,1,AD,Passing,
Left (3).MP4,7748,39.5773,60min,11.7612,101.49,1.515,0.377,1022.336,25.809,1.775,17.535,403.707,187.428,-920.359,bootspongewall_1,Fiona Francis,17,,19-10-11,12:49,rocky reef,,,,1049,1048,Embiotocidae,Rhacochilus,vacca,169754,70,AD,Passing,
Left (3).MP4,22749,47.9195,60min,20.1034,155.184,4.004,3.558,1543.81,35.721,4.99,6.448,-900.107,-46.905,-1253.378,bootspongewall_1,Fiona Francis,17,,19-10-11,12:49,rocky reef,,,,1049,1048,Hexagrammidae,Hexagrammos,stelleri,167113,1,AD,Passing,
Left (4).MP4,9409,58.1353,60min,30.3192,249.888,8.858,1.479,2013.392,14.712,37.377,12.322,494.336,-130.701,-1947.382,bootspongewall_1,Fiona Francis,17,,19-10-11,12:49,rocky reef,,,,1049,1048,Hexagrammidae,Hexagrammos,decagrammus,167110,1,AD,Passing,
