MaxN,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Generated: Thursday 03 June 2021 21:41:46,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Filename,Frame,Time (mins),Period,Period time (mins),OpCode,TapeReader,Depth,Comment,Date,Time,habitat_type,complexity,current_speed,temperature,left_camera,right_camera,Family,Genus,Species,Code,MaxN,Has fed
Left (2).MP4,14192,25.5266,60min,4.3555,halkettbioherm_1,Fiona Francis,31.7,,2019-10-31,11:27,sponge reef,,,,1047,1046,Gobiidae,Rhinogobiops,nicholsii,636877,1,No
Left (2).MP4,21626,29.6607,60min,8.4896,halkettbioherm_1,Fiona Francis,31.7,,2019-10-31,11:27,sponge reef,,,,1047,1046,Hexagrammidae,Hexagrammos,decagrammus,167110,1,No
Left (3).MP4,22926,48.018,60min,26.8468,halkettbioherm_1,Fiona Francis,31.7,,2019-10-31,11:27,sponge reef,,,,1047,1046,Hexagrammidae,Ophiodon,elongatus,167116,1,No
Left (2).MP4,25327,31.7189,60min,10.5478,halkettbioherm_1,Fiona Francis,31.7,,2019-10-31,11:27,sponge reef,,,,1047,1046,Scorpaenidae,Sebastes,emphaeus,166718,1,No
Left (4).MP4,18398,63.1342,60min,41.963,halkettbioherm_1,Fiona Francis,31.7,,2019-10-31,11:27,sponge reef,,,,1047,1046,Scorpaenidae,Sebastes,flavidus,166720,35,No
Left (2).MP4,27657,33.0146,60min,11.8435,halkettbioherm_1,Fiona Francis,31.7,,2019-10-31,11:27,sponge reef,,,,1047,1046,Scorpaenidae,Sebastes,maliger,166726,3,No
Left (2).MP4,19338,28.3884,60min,7.2172,halkettbioherm_1,Fiona Francis,31.7,,2019-10-31,11:27,sponge reef,,,,1047,1046,Scorpaenidae,Sebastes,proriger,166736,3,No
Left (3).MP4,5579,38.3711,60min,17.2,halkettbioherm_1,Fiona Francis,31.7,,2019-10-31,11:27,sponge reef,,,,1047,1046,Scorpaenidae,Sebastes,ruberrimus,166740,1,No
Left (4).MP4,16948,62.3278,60min,41.1567,halkettbioherm_1,Fiona Francis,31.7,,2019-10-31,11:27,sponge reef,,,,1047,1046,Squalidae,Squalus,suckleyi,160617,1,No
Left (4).MP4,30784,70.0222,60min,40.0906,halkettsign_1,Fiona Francis,23.9,,2019-10-11,9:49,rocky reef,,,,1049,1048,,,,,12,No
Left (4).MP4,26675,67.7371,60min,37.8055,halkettsign_1,Fiona Francis,23.9,,2019-10-11,9:49,rocky reef,,,,1049,1048,Bathymasteridae,Ronquilus,jordani,170951,4,No
Left (3).MP4,22508,47.7855,60min,17.8539,halkettsign_1,Fiona Francis,23.9,,2019-10-11,9:49,rocky reef,,,,1049,1048,Cottidae,Artedius,harringtoni,167213,1,No
Left (4).MP4,8196,57.4607,60min,27.5292,halkettsign_1,Fiona Francis,23.9,,2019-10-11,9:49,rocky reef,,,,1049,1048,Embiotocidae,Cymatogaster,aggregata,169739,50,No
Left (5).MP4,29434,86.9057,60min,56.9741,halkettsign_1,Fiona Francis,23.9,,2019-10-11,9:49,rocky reef,,,,1049,1048,Embiotocidae,Rhacochilus,vacca,169754,1,No
Left (4).MP4,23640,66.0493,60min,36.1177,halkettsign_1,Fiona Francis,23.9,,2019-10-11,9:49,rocky reef,,,,1049,1048,Gobiidae,Rhinogobiops,nicholsii,636877,2,No
Left (6).MP4,14792,96.3974,,,halkettsign_1,Fiona Francis,23.9,,2019-10-11,9:49,rocky reef,,,,1049,1048,Scorpaenidae,Sebastes,maliger,166726,2,No
Left (3).MP4,22037,47.5236,60min,17.592,halkettsign_1,Fiona Francis,23.9,,2019-10-11,9:49,rocky reef,,,,1049,1048,Syngnathidae,Syngnathus,leptorhynchus,166462,1,No
Left_004.MP4,3384,54.7847,60min,20.0067,helipad_1,Fiona Francis,20.8,,2019-09-05,10:03,rocky reef,,,,1047,1046,Embiotocidae,Cymatogaster,aggregata,169739,500,No
Left_003.MP4,29702,51.7862,60min,17.0081,helipad_1,Fiona Francis,20.8,,2019-09-05,10:03,rocky reef,,,,1047,1046,Embiotocidae,Rhacochilus,vacca,169754,5,No
Left_003.MP4,14125,43.1236,60min,8.3456,helipad_1,Fiona Francis,20.8,,2019-09-05,10:03,rocky reef,,,,1047,1046,Gobiidae,Rhinogobiops,nicholsii,636877,1,No
Left_004.MP4,14159,60.7768,60min,25.9988,helipad_1,Fiona Francis,20.8,,2019-09-05,10:03,rocky reef,,,,1047,1046,Hexagrammidae,Ophiodon,elongatus,167116,1,No
Left_006.MP4,214,88.2904,60min,53.5123,helipad_1,Fiona Francis,20.8,,2019-09-05,10:03,rocky reef,,,,1047,1046,Phocidae,Phoca,vitulina,180649,2,No
Left_004.MP4,4929,55.6439,60min,20.8658,helipad_1,Fiona Francis,20.8,,2019-09-05,10:03,rocky reef,,,,1047,1046,Scorpaenidae,Sebastes,caurinus,166713,1,No
Left_002.MP4,30828,34.7781,60min,0,helipad_1,Fiona Francis,20.8,,2019-09-05,10:03,rocky reef,,,,1047,1046,Scorpaenidae,Sebastes,flavidus,166720,835,No
