Surface analysis

Generated: Tuesday 06 July 2021 18:06:48

						
Left filename	Left2+2m.jpg					
Left frame number	      0					
Plane definition points	128					
RMS plane fit (mm)	41.703					
X plane direction (unit vector)	[0.9930, -0.0000, 0.1178]					
Y plane direction (unit vector)	[0.0032, 0.9996, -0.0273]					
Z plane direction (unit vector)	[-0.1177, 0.0275, 0.9927]					
Plane shift (mm)	[-1365.5418, -780.1992, -2029.8057]					
						
Transformed coordinates						
X (mm)	Y (mm)	Z (mm)				
1352.897	340.662	145.644	28.964	60.131	8811.306	10070.935
268.706	433.113	152.279	5.473	330.740	8281.182	8319.104
338.695	412.837	150.677	6.739	67.765	10579.543	10653.150
203.664	381.429	154.545	5.779	344.945	7630.361	7669.343
58.442	371.320	104.478	36.616	273.973	38858.103	48412.405
120.622	569.491	126.227	19.975	290.378	21429.092	22800.704
172.840	465.559	149.596	3.555	65.670	6862.086	6875.318
1113.841	365.855	168.434	12.658	331.566	9678.581	9919.693
1021.988	321.956	170.502	14.354	343.713	14687.544	15160.811
1057.011	442.072	149.231	10.052	330.101	7560.628	7678.503
973.028	455.429	145.991	11.132	20.154	7287.458	7427.208
927.436	387.147	155.894	5.255	4.830	12844.342	12898.562
1515.642	814.265	118.971	3.528	98.536	10554.968	10575.008
1539.770	926.726	113.186	7.033	66.905	23539.205	23717.648
1655.517	954.905	97.544	7.928	68.675	33688.760	34013.849
1742.791	888.693	94.247	7.629	8.655	15269.410	15405.789
302.150	1652.314	99.591	83.452	183.887	2042.897	17913.595
216.996	1616.809	71.567	47.643	127.923	8691.635	12900.464
384.524	1584.988	70.552	15.022	307.498	18005.799	18642.937
299.370	1549.483	42.528	32.001	262.420	10219.654	12050.926
1089.855	490.427	143.745	11.279	339.095	6109.174	6229.489
1171.129	485.002	147.553	11.279	2.032	5524.377	5633.181
836.504	535.238	128.158	20.388	7.343	4078.524	4351.091
805.814	451.294	126.207	14.399	263.248	16663.797	17204.253
749.373	700.805	162.892	19.058	179.805	19064.762	20170.303
821.274	626.429	138.388	18.264	186.159	9182.107	9669.228
648.285	680.900	150.962	22.410	193.803	16471.032	17816.577
917.217	513.658	133.541	19.719	2.744	5366.094	5700.353
840.935	361.433	141.493	28.540	287.550	8532.032	9712.244
1864.934	653.863	71.067	11.882	102.123	9531.943	9740.650
1731.816	608.500	96.551	12.725	80.799	5831.267	5978.103
1730.889	499.891	101.479	12.695	78.026	13227.103	13558.553
443.545	433.803	134.246	13.783	76.948	4820.650	4963.576
380.812	460.750	144.050	6.358	68.738	4066.502	4091.665
1272.071	1450.046	168.818	8.632	97.102	6272.808	6344.676
1337.871	1550.220	159.095	10.241	94.210	7079.042	7193.650
1343.107	1474.132	157.207	10.255	93.720	9170.441	9319.329
1232.726	1515.529	174.701	6.865	89.718	6743.846	6792.548
1260.794	1582.468	171.400	6.730	91.349	4558.721	4590.351
955.193	564.130	141.520	21.474	216.244	8494.991	9128.670
1043.848	554.256	148.484	17.739	175.525	7253.358	7615.440
1232.619	545.126	142.974	3.024	333.751	7924.571	7935.624
1301.440	584.237	146.667	4.018	243.779	16807.873	16849.280
1317.111	468.633	138.375	11.426	167.288	5675.833	5790.585
1410.968	477.807	151.974	18.432	218.111	11170.538	11774.594
1439.426	547.425	163.477	14.651	306.250	8658.305	8949.292
284.467	1225.602	99.691	8.128	163.576	6931.235	7001.560
259.977	1349.149	69.722	21.050	341.253	18349.866	19661.949
318.810	1426.889	64.812	28.574	292.380	16084.350	18315.174
410.277	1186.592	112.750	12.132	249.925	17200.631	17593.537
1193.367	968.697	144.740	6.143	287.369	11288.061	11353.242
1104.775	991.657	166.354	31.560	132.172	12595.713	14782.167
1104.061	1103.875	201.325	27.545	114.110	13663.983	15410.890
1172.509	1167.607	187.994	25.187	125.489	17156.257	18958.813
1451.030	358.744	125.108	3.210	355.110	13902.357	13924.206
1628.849	335.707	119.728	2.467	78.147	8902.791	8911.049
1627.383	396.464	126.494	23.577	205.093	3797.890	4143.806
1541.363	307.736	124.329	3.082	75.254	17505.285	17530.647
1483.003	445.895	143.761	32.739	173.429	9374.304	11144.717
1571.870	455.644	149.748	35.534	192.460	4070.254	5001.706
933.817	640.656	150.136	19.175	255.123	10129.330	10724.296
880.611	681.376	152.386	19.328	152.736	8797.109	9322.536
223.678	1084.605	103.520	7.025	36.430	8178.313	8240.178
144.880	1037.178	108.646	4.456	311.826	6038.433	6056.740
107.810	1072.576	116.876	31.196	141.659	3279.264	3833.596
226.797	1164.598	100.310	7.485	100.485	8575.638	8649.344
154.193	1145.466	116.547	23.072	105.447	5501.826	5980.153
1684.803	225.595	107.877	28.420	177.504	5646.151	6419.878
1162.014	549.944	140.317	3.170	291.626	5729.280	5738.058
1026.087	965.024	187.512	29.152	141.571	8407.926	9627.463
972.525	1040.166	209.940	8.887	262.661	8333.736	8435.003
1010.939	1129.360	221.285	11.241	247.099	11622.610	11849.921
217.019	798.455	132.406	7.090	332.459	9688.513	9763.162
145.289	845.582	124.796	6.503	359.781	7512.038	7560.688
104.765	796.524	111.525	27.203	247.282	9028.191	10150.955
222.093	694.464	141.625	4.485	317.487	8385.534	8411.292
139.486	697.772	120.159	23.745	276.035	9556.509	10440.350
284.793	828.399	134.531	7.003	314.468	11953.057	12042.900
252.270	910.974	125.024	6.709	308.170	10811.798	10886.335
339.713	928.857	135.474	8.519	273.697	16172.730	16353.178
422.155	721.826	160.992	18.012	42.510	17221.939	18109.463
341.156	742.352	160.765	27.696	316.968	6154.903	6951.373
523.271	766.752	159.288	19.051	222.266	14690.950	15542.201
487.632	857.527	161.316	10.422	276.825	18003.535	18305.544
1080.993	594.816	149.082	18.204	78.884	5460.344	5748.028
957.535	1614.557	147.442	38.125	354.211	17813.185	22643.789
735.211	1588.727	125.763	12.788	264.690	14837.419	15214.832
581.489	1608.122	95.766	7.376	265.584	6220.452	6272.361
1673.075	444.868	121.551	24.994	83.684	6602.677	7284.898
1123.700	255.733	163.491	56.476	175.761	10395.721	18823.270
1275.829	190.106	115.110	19.721	171.729	74666.071	79318.317
869.865	209.520	146.741	30.163	172.390	26348.120	30474.352
1902.196	797.437	88.445	7.658	216.602	13037.097	13154.430
1939.079	708.039	75.749	14.395	196.590	11875.482	12260.401
1984.285	516.963	73.799	23.526	269.725	23346.934	25463.493
107.964	938.560	114.255	6.406	359.933	5772.437	5808.702
147.170	974.008	112.359	4.768	317.324	6186.795	6208.276
1848.750	1084.360	97.834	11.908	210.344	5802.717	5930.338
1965.190	1109.577	108.475	9.418	190.532	12294.522	12462.518
1836.109	990.175	90.106	14.294	279.532	7324.275	7558.255
1149.267	1598.898	173.261	27.889	354.929	3285.062	3716.726
1441.979	1565.498	140.910	10.015	95.769	15951.033	16197.867
1576.569	1605.531	130.643	27.179	169.154	11581.906	13019.423
934.949	270.853	174.639	10.206	334.243	11973.912	12166.402
799.686	280.784	147.983	41.488	326.854	3756.713	5014.990
274.835	664.083	161.512	29.598	307.261	8926.563	10266.167
145.759	1284.191	98.532	11.938	16.367	21278.259	21748.623
122.218	1429.257	122.661	82.753	95.502	4117.383	32641.004
170.332	1571.935	76.455	46.528	137.093	7528.198	10942.118
193.873	1426.869	52.326	30.436	57.656	13599.517	15773.126
760.236	795.081	177.187	13.267	25.253	9808.632	10077.599
710.814	847.217	165.301	21.447	2.159	7171.901	7705.455
590.985	882.398	161.310	20.300	15.554	17276.585	18420.757
237.882	517.243	147.330	1.119	327.944	9019.068	9020.787
282.550	584.186	163.466	21.113	214.912	10136.424	10865.824
637.364	1169.213	128.139	12.284	42.830	6782.831	6941.774
442.339	1080.301	127.532	14.157	319.653	25515.875	26315.119
576.371	1030.572	143.029	2.847	102.352	18059.528	18081.842
658.448	1084.236	136.467	10.216	55.600	5117.469	5199.902
313.412	1039.318	117.683	14.073	332.480	21082.508	21734.857
67.439	889.502	100.984	51.274	269.695	2882.816	4608.151
782.148	900.711	164.982	16.359	240.775	5936.674	6187.140
754.001	953.019	156.719	18.388	287.940	8464.208	8919.652
612.632	958.529	142.958	3.961	30.824	14458.205	14492.823
1031.816	1402.735	217.047	9.262	346.678	6386.684	6471.053
1020.288	1477.715	203.342	11.338	348.574	5885.833	6002.979
1158.850	1486.682	189.103	12.938	86.936	12768.473	13101.079
1101.397	1529.345	193.429	11.693	4.373	8700.071	8884.451
1118.965	1398.029	206.440	17.820	52.154	8825.039	9269.774
1259.161	1354.379	172.889	10.012	73.679	8596.225	8729.153
1179.931	1331.209	196.109	19.133	77.116	13850.588	14660.399
918.872	878.730	185.718	13.310	213.611	11114.726	11421.507
992.185	859.830	167.382	27.497	119.334	13626.319	15361.692
911.688	1003.972	199.877	8.733	262.809	8285.613	8382.795
925.143	1471.995	190.658	22.361	304.298	6012.737	6501.612
982.637	1522.992	190.801	14.481	338.341	6595.531	6811.952
937.340	1360.665	209.661	15.391	285.401	8629.297	8950.268
1006.362	1336.682	223.510	7.695	319.328	10107.551	10199.399
99.237	1264.673	140.196	68.109	273.481	3167.271	8494.793
1617.562	504.047	144.806	25.525	84.424	9788.735	10847.484
1447.186	1059.316	122.927	9.721	88.467	24150.801	24502.619
1360.314	1024.457	140.762	14.109	81.077	13269.045	13681.791
1414.042	885.692	133.334	14.440	79.011	10153.853	10485.079
747.439	1166.636	147.903	17.292	279.594	17078.715	17887.183
768.523	1081.659	156.231	17.231	266.548	12869.112	13473.822
818.036	1508.398	155.071	17.413	307.735	27372.742	28687.487
1063.746	1574.621	180.889	22.918	354.403	4091.434	4442.071
1310.989	1300.981	162.608	15.437	89.894	8909.986	9243.470
1381.350	1323.247	147.858	8.665	111.439	6956.606	7036.931
1464.936	1220.491	128.236	9.766	116.713	12044.773	12221.884
1423.735	1172.696	130.079	9.501	124.801	12796.289	12974.269
1316.719	1224.529	156.198	18.880	118.052	5695.159	6018.979
858.505	779.575	166.801	19.610	39.820	4794.708	5089.929
715.176	1352.158	134.941	19.417	271.972	15193.787	16110.030
811.195	1259.125	167.835	18.819	268.722	35334.898	37330.582
1046.700	1265.297	234.112	7.101	319.389	4627.118	4662.884
992.967	1193.859	224.747	11.163	224.877	6714.952	6844.440
924.830	1252.204	207.721	20.874	267.885	12983.129	13895.141
798.443	104.499	98.296	31.430	174.642	102830.557	120512.562
466.744	360.640	129.660	14.995	91.658	6802.321	7042.115
711.100	1445.650	131.747	19.466	273.924	18814.494	19955.192
